pool,degree_wallets,p_swaps,p_volume_usd,hhi_wallets_vol,hhi_wallets_cnt,entropy_wallets,top_wallet_share,arb_leg_share,top10_wallet_share,avg_wallet_persistence,repeat_wallet_share,mev_wallet_share,mev_volume_share,mev_volume_share_strict,mev_swap_share,entropy_norm_wallets,eff_wallets_inv_HHI,mev_exposure_index
0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,43321,147695,1120626669.0909107,0.07332754742525416,0.014561373320472075,4.618741220186198,0.24237403298561566,0.024069873669891835,0.543046219870949,0.9691926052662334,0.10239837492209321,0.032870894023683664,0.42069914072772957,0.241324922894689,0.39155692474355935,0.4326125230920451,13.637439613255058,0.7834608360039974
0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,8139,146531,1046807765.8282871,0.025555419004742036,0.014757549371433774,4.858360366672056,0.07858961393697513,0.03987552138462937,0.43719512302269975,0.932793037635657,0.2535938075930704,0.2092394643076545,0.32270902317997796,0.2778571408518115,0.34095174399956324,0.5395526822515023,39.130643869092545,0.7768530962472863
0x1e1dfff79d95725aaafd6b47af4fbc28d859ce28,43196,142940,1018707573.9307129,0.018844283222094783,0.002845637679019843,5.987912221063819,0.10458744095313717,0.070225269484506,0.32784898583011796,0.969885065364061,0.13332252986387627,0.06961292712288175,0.518768145815912,0.3264789718455748,0.4111585280537288,0.5610072083708324,53.066491742573014,0.8118560253626934
0xa19a732e51b5222a64834098c90f9c6e03ec31ed,5329,23153,784705744.5070742,0.11998695413631696,0.024888568316992963,2.5330152009335745,0.20801417374219816,0.015073640580544775,0.9075329529309453,0.9871901605081818,0.06230061925314318,0.06943141302308126,0.00044106108946669216,0.00024525223777011117,0.09756834967390834,0.2951916030996885,8.33423939459203,0.6734725524656259
0xbafead7c60ea473758ed6c6021505e8bbd7e8e5d,5553,12599,735254289.3490971,0.034576700026998405,0.0010236633616342264,4.940312214279928,0.1689403835668389,0.02452575631427267,0.32700204671404853,0.9783515280648306,0.1476679272465334,0.4691157932649019,0.26066077087675865,0.07533796002505432,0.4405905230573855,0.5729829021536611,28.921209925156926,0.7733209276680796
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,9581,127351,683141221.7154291,0.031552547529039646,0.056070495511319124,5.226965566498008,0.15661709633435603,0.028605979258191305,0.3158183819437622,0.9533206255049487,0.18828932261768083,0.3119716104790732,0.37090268214499494,0.3237331891957573,0.48890075460734506,0.5701602757814882,31.693161988889862,0.7885092525586684
0xb6dab6ad1b394749db7596c283f2bcc7e1be76ef,1530,7150,667218773.5696987,0.020218307919766306,0.004758218005770453,4.7055238298838535,0.06997268695190997,0.027412587712694714,0.35962252806795836,0.9954248368740082,0.06666666666666667,0.22745098039215686,0.4648788206642312,0.21203420694661307,0.4993006993006993,0.6416894943125365,49.46012316996894,0.7972104483269581
0xe8c6c9227491c0a8156a0106a0204d881bb7e531,9871,98864,644583988.5345994,0.03844328854555506,0.014838932180887377,4.846381208425316,0.12500428111802614,0.05814047614518414,0.44627965838589795,0.9612919225603441,0.16827069192584337,0.17141120453854725,0.3882167498133778,0.3223563882575169,0.3792381453309597,0.5269319763470415,26.01234279983634,0.789482752679279
0x2982d3295a0e1a99e6e88ece0e93ffdfc5c761ae,18574,178652,587437471.6721829,0.015793592413724505,0.012716487778028206,5.812659655037641,0.06062853002134196,0.04709714983934979,0.32739220537265123,0.9315662790846777,0.2524496608161947,0.1232367825993324,0.5165880381279125,0.16080585832962632,0.5123480285695095,0.5913473718564695,63.31681695995954,0.8194372652400151
0x867b321132b18b5bf3775c0d9040d1872979422e,5224,11978,558215331.8129541,0.010762241493076637,0.002987165120804626,5.591710017947638,0.04369449387259551,0.015862414487678788,0.2603352432797127,0.9897362351029609,0.14605666156202143,0.08192955589586524,0.551546062876382,0.28175339871825994,0.3278510602771748,0.6531594232959479,92.91744667161586,0.7896119783590061
0x7c706586679af2ba6d1a9fc2da9c6af59883fdd3,32306,303555,549816169.4323637,0.022415962472542766,0.01602023102384389,6.031614112328162,0.11450675784619332,0.046215677255566204,0.31581743340131707,0.9108939967931446,0.2875317278524113,0.06918219525784684,0.43831181700619765,0.3703222806875345,0.4194857604058573,0.5809120022661045,44.61106683350744,0.7951772976325855
0x7a415b19932c0105c82fdb6b720bb01b0cc2cae3,5720,16293,532370555.0017164,0.007650932427487556,0.012388345113952703,5.587057334451666,0.0287984105986714,0.03277481139028138,0.19264492888299312,0.9700779913657612,0.07832167832167833,0.11625874125874126,0.4613050610762428,0.207481691945196,0.4837660344933407,0.6457738688803808,130.70302338670425,0.7980805679037871
0x185a1ff695d30a22c19f44c6b41e2d6d1c8c1f11,34345,133271,519027077.4742079,0.04376414924577328,0.005344722866507617,5.8409125628222105,0.19814938626744502,0.059945524550482354,0.36086437093595247,0.9697652926844512,0.12863590042218664,0.07969136701120978,0.6183952451528324,0.4690740636241341,0.46402443142168964,0.559248770102904,22.849752988094007,0.8225214514628346
0xc2c390c6cd3c4e6c2b70727d35a45e8a072f18ca,26591,182707,423619634.72120476,0.0608666168745301,0.04180355237709858,4.4671129761989015,0.14835187312983233,0.026911940462187523,0.5031689276500774,0.9536472999187385,0.12857733819713438,0.05979466736865857,0.44605978672092506,0.4105921785216627,0.4208048952694752,0.43845397753322907,16.429367218838383,0.7900858058513388
